S.No,Comments,Label,Unnamed: 3
HATE_1557,jagan oka pandi kukka gadu AP ni sankanakinchadhu,hate,
HATE_1558,chAlA bAgA chèppAru guruvugAru gòppa nAyakuDu pariTAla ravanna   johAr ravanna,non-hate,
HATE_1559,jagan oka erri puku gadu vadu vadi modalo paripalana,hate,
HATE_1560,idi I vIDiyo ènnisArlu chUshAno ènnisArlu navvukunnAno nAke tiliyadu,non-hate,
HATE_1561,rAdhAkRRiShNa gAriki dUla tIriMdi nabhUtò nA bhavishyat,non-hate,
HATE_1562,sUpar rk gAru chAlA maMchi progrAM,non-hate,
HATE_1563,iTuvaMToLlu maMtrulugA uMDaDaM tèlaMgANa chesina duradRRiShTaM,non-hate,
HATE_1564,Megastar antey adi Em expression ra babuComedyactiondialoguesDance ayithey ika cheppoddu,non-hate,
HATE_1565,shrIhari lAMTi maMchi hIro maLLI rAvAli,non-hate,
HATE_1566,ma ntr anna medhey memes chesthava ninnu origikichi dengutha ee post delete cheyakunte,hate,
HATE_1567,"Rip sir Atma ki shAMti kalagAlani korukuMTunnAnumana deshaMlo unnadi ilAMTi baDA pArishrAmikavettalu sAr
",non-hate,
HATE_1568,A one chillara rAjakIyAlu apu muMdu iMTlo vunna mahILalaku nyAyaM cheyamanu akkA chèllèLLu chebutAru Aone Bach ki,hate,
HATE_1569,Bonda Uma oka porambokuvadu,hate,
HATE_1570,karan johar oka panikirani vedava manchi roles anni chetha actress ee ichi movie ni nasanamchestharu,hate,
HATE_1571,NTR gAru rAk abba yAkTiMg lo kiMg,non-hate,
HATE_1572,bonda uma kukka esaga mafia king,hate,
HATE_1573,gauraNIyamaina mukkyamaMtri gAru mIpaina èMto nammakaMto mimmalini mI pArTI ni gèlipiMchinaMduku  mAku bAgA buddi vachchiMdi  abhivRRiddhi guriMchi mATlADaTaM vadilesi èMta sepu pakkana vALLa guriMchi mATlADaTaM emi bAgoledu,non-hate,
HATE_1574,bhArata deshaMlo gauraviMche naTuDu avutADu   jai manoj anna rrr mUvI miMchi kalèkShanlu vasUlu chestuMdi,non-hate,
HATE_1575,ni pellam puku denugutha  ma anna annavu ante,hate,
HATE_1576,oka ammai vi ayundhi illu clean chesthunavu ani complain chesthava siggu techuko,hate,
HATE_1577,kajal oka bitch  naku modda dani notlo pettali anni vundhi,hate,
HATE_1578,ee kalam ammailu ki dabbuli vunte chaalu anukuntaru,non-hate,
HATE_1579,oka ammai vi vundhi natho argue chesthava puku mosukoni inti panulu cheyi,hate,
HATE_1580,samantha oka trigubothu lanja chai lanti mogudu vadilesindhi,hate,
HATE_1581,jai kodali nani meru oka dynamic leader,non-hate,
HATE_1582,nen pedda payalu vunna ammailinu dengi bore kotudhundhi iamcomingforskinnygirls,hate,
HATE_1583,desanaki oka nehru oka vallabahi patel vundali kani manaki oka shah inka modi lanti vallu dorikaru,hate,
HATE_1584,pichi puku  kukka na meddha nunchi leyi,non-hate,
HATE_1585,Ee video chusintarvatha mee meeda respect perigindi,non-hate,
HATE_1586,Ee ammai chala bagundhipade pade chudaalinipistundhi,non-hate,
HATE_1587,Good aMDi gIta kRRiShNa gArU maMchi iMTarvyu,non-hate,
HATE_1588,e hIroni e darshakunni  rèmyUnireShan taggiMchukuni aDagakUDadu prajalu guDisi povAlA aMtegA,hate,
HATE_1589,Tickets rates thagginchaaliappudey janaalu theatre ki vastaaru Budget peruguthondhantey dhaanikkaranam producers e Heroes budget north Indian heroines valla staff ni mepaali ivvanni thadisi mopodavuthunnayi,hate,
HATE_1590,Hero lu remuneration taggisthe dil raju rates penchi collections motham mingesthadanta…funny fellow,hate,
HATE_1591,Telugu cinema lu content takuva buildup ekuva Free ga download chesi chustam free ga,hate,
HATE_1592,First Ganesh anna chesina appulu and bounce iyna check lu clear cheyi,hate,
HATE_1593,Bandla garu miru cheppindhi correct ithe condom ni onezerok petti kontava dhenikaina oka limit untadhi bandla garu,hate,
HATE_1594,onezerozero literacy rate unna kerala lo ne janalu gorrelu la unte migilin rashtrallo unna janalu paristhiti emito I feel ashamed being part of this type of public,hate,
HATE_1595,naMbI nArAyaNan gAriki ilAMTi anyAyaM chesina vALLani kaTakaTAllo vèyyAli ,hate,
HATE_1596,chAlA maMchi mUvI anna mIru riyAkT avutAv anukunna anna nuvvu sUpar lAyar anna,non-hate,
HATE_1597,naMbi nArAyaNa gAriki jarigina anyAyaM chUstuMTe chAlA bAdha vestuMdi naMbi nArAyaNa gAri tyAgAniki mA hRRidayapUrvaka pAdAbhi vaMdanAlu,non-hate,
HATE_1598,kalyAN dilIp suMkara gAru chAlA chakkagA vivariMchAru dhanyavAdAlu,non-hate,
HATE_1599,bAgA chadivinav gA rAsukuni marI madhyalo mana bhAryalu annAv chUDu ,hate,
HATE_1600,Allu Arjun cinema ki pranam esatadu,non-hate,
HATE_1601,allu arjun ki ekkaDo sUDi u0dimultitalent vunnoDu allu arjun òkkaDe in i0DiyA,non-hate,
HATE_1602,pavan kaLyAN peru lekuMDA nidra poru kòMdaru A peru alAMTidi kòMdariki adi aMte ,non-hate,
HATE_1603,gaNeSh gAru karèkTugA mATlADAruI viShayaMlo hATsop,non-hate,
HATE_1604,Sir Arun Kumar garu meeku hrudayapurvaka namaskaramulusir nenu kuda Kapil chit lo chit one L vesanu chit purti ayipoyindinene kakunda ma brother cheta friends cheta kuda veyinchaanubut ippariki amont ivvatam leduamont adigite danilone fixid deposit cheyyamantunnaru consumer court ki velte baguntundaplz salaha istarani aasisunnanu,non-hate,
HATE_1605,More than one crore deposits in margadarsi … not even one depositor complain … Nekenduku ra … go and talk about babai,hate,
HATE_1606,Soolu master of AP Goda meda pilli,hate,
HATE_1607,Dramoji pedda fourtwozero  AP ni nasamchesina vallalo veedu No one,hate,
HATE_1608,Nee knoledge motham okka kulam okka partini meeda padi edavadanikee saripoindi Vaallu nee intivaalani edinA chesinaara Durmargula panini divert chiiyadamkosam screen meedaki osthavu Karma Nuvve alochinchuko undavalli,hate,
HATE_1609,Rajasekhar Reddy garu Kadapa Lo fivezerozero Acres thesukoni assembly Lo gola zarigina tharuvatha assined Lands return echharugada appudu dhonga thanam chesi return evvata correct gadugada dheniki mereemantaru,hate,
HATE_1610,Vaalla chetilo vunnadi atyunnata vyavasta  Veellu asale brokers  Inka vadakam ela vuntundo chuseru ga,hate,
HATE_1611,Mari neethulu endhuku ra yadhava Collection chasukoni galichanu anavu Mari u are not law obedieing person Sreeranga neethulu apu,hate,
HATE_1612,khachchitaMgA aMte nuvvu rAjashekhar rèDDi kalasi rAmojI nI ArthikaMgA dèbbatIse plAn veshAru,hate,
HATE_1613,ne okkadiki nyayam jarigindi kaabatti ysr neku devudu nuvu o pathi wrathavi,hate,
HATE_1614,Sollu apara re nee bochu telivi tetalu Andhra Pradesh bagu kosam cheyyara,hate,
HATE_1615,Siggu neethi leni,hate,
HATE_1616,mIru mATlADina mATallo onezerozero percent nijaM uMdi,non-hate,
HATE_1617,Jagan dobbindi kanapadada neeku atineetimantuda,hate,
HATE_1618,sAmAnyuDi chetilo AyudhaM dilIp anna gAru I vIDiyo vIlunnaMta maMdiki Sher cheyAli,non-hate,
HATE_1619,IDini chUsAkamana saMpu mIda chAlA gauravaM pèrigiMdi,non-hate,
HATE_1620,òkka èkShprèShantò  mòttaM naDipiMchinav nuvvu nijaMgA lèjaMD anna,non-hate,
HATE_1621,vIDu sagame pèrigina grahAMtara vAsi lèkka unnADu,hate,
HATE_1622,rey troll gAllArA mI bratukaMta pakkoDimIda paDi yADavADamenArA,hate,
HATE_1623,Comments chadivi masthu enjoy chesthunna nenaithe,non-hate,
HATE_1624,anna I vIDiyo mammalni chAlA   èMTarTain chesiMdi kAnI kòtta vALLani saporT cheyaMDi anna phasT mUvI lo allu arjun èlA unnADo manaki tèlusu ippuDu puShpa lo èlA unnADo manaki tèlusu  èMduku alA anna ardhaM chesukoMDi,non-hate,
HATE_1625,Baga kastapaddav bro edit ki  Good keep it up,non-hate,
HATE_1626,Deenemmaa dabbulu unte darinapoye danaya tho cinema tiyyachu ani telisindi,hate,
HATE_1627,Bro vaadi height entha bro sampu kante comedy ga vunadu ,hate,
HATE_1628,Veedevado grahanthara vasi kappa la vunnadu,hate,
HATE_1629,Edi kanna sampurnesh babu melu kadha ra babu expression baaga esthadu edu mv motham okatey expression,hate,
HATE_1630,Asalu aa mukham yendhayyaa kaneesam manishi laa koodaa ledhuNag Mahesh Akhil tharuvaatha antha andhagaadini anukunnaadaa yendhi saamy,hate,
HATE_1631,To be frankly host kante chay chaala humble ga react ayyaru  really love his nature,non-hate,
HATE_1632,anni tèlusu polIs laku yUniphAm uMdanna ahaMkAraM  chaTTaM tèlisina vADu tappu cheste tATa tIyaMDi aDvakeT  hakkula kosaM prajala taraphuna porADaMDi,hate,
HATE_1633,Knowledge is Divain Akali to poyina parledu baT AtmagauravaM pokUDadu      vAv    nais  quotes,non-hate,
HATE_1634,mI lAMTi lAyaru uMDaTaM mA adRRiShTaM sArmIku dhanyavAdAlu,non-hate,
HATE_1635,mIlAMTi  vAru uMTe prati sAmAnya vAriki  nyAyaM jarugutuMdi Salute sir,non-hate,
HATE_1636,Akalito ayinA chanipotAnu gAnI AtmagauravaM to bratukutAnu i like it,non-hate,
HATE_1637,tanaku vartiMche mATalannI tana noTidvArAne palikina gòppa vyakti,non-hate,
HATE_1638,Muthy garu vIDu janAlu aMta vèdavalu anukuMTunnADA…… èMta mòttutunnA èvaDu nammaru……,hate,
HATE_1639,èMpI gAri phon hyAMD ovar chesukòni phorènsik lyAb ki paMpAli,non-hate,
HATE_1640,hom minisTar twozerozerozero UNFIT Amèki unna tèlivi ki Village member ke èkkuva,hate,
HATE_1641,polIsu lu kAdu vILlu brokar lu,hate,
HATE_1642,èvaru aMta sigguleni yaspiaipiyas ane unnatamaina dAnikI siggucheTu,hate,
HATE_1643,Baabu gaari TaiMlo maMchi peru tèchchukunna phakirappa ilA digajAri poyinADemi devuDA,hate,
HATE_1644,APloAsalucriminalskuVotlu  VesinaAPJanalakuonezerozero√ SigguledhufirstAPloUndi YCPPolicestationAPloAsalu PolicevarulayruNexttwozerotwofourlo UntundiAPPolicevariki,hate,
HATE_1645,Asalu criminals ku votlu vesi na janalaku sigguledhu first,hate,
HATE_1646,asalu mATlADake rAdu niki èMpI padavi èlA ichchAro,hate,
HATE_1647,bullitèra jabardast kamalahAsan gèTap shInu sudhIr leni loTu èvari tIrchaleka potunnAru mAku Miss u sudheer anna,non-hate,
HATE_1648,nijaMgA I lav sTorI eMdi bhai  shInanna eDiche sIn sUpar,non-hate,
HATE_1649,shrInu annA nuvvu chèppiMdi nijaM  I bagrauMD music tho chirAku tèppistuMdi progrAm,hate,
HATE_1650,Getup srini anna superbmiru ravadam chala santhosham,non-hate,
HATE_1651,gèTap shrInu anna yamadharma rAju pAtralo kAmèDI adaragòTTAru  immu varSha pravIN phaimA rAkeSh sujAta gArla lav TrAk nijamani èMta maMdi anukuMTunnAru,non-hate,
HATE_1652,vIDiyo ni  skip  cheyakuMDA chUsina vALLu òka laik vesukoMDi mana harSha sAyi anna kosaM,non-hate,
HATE_1653,mIru charitralo nIlustaru bro Hands off to Your help full to poor people,non-hate,
HATE_1654,Prajalu question cheyanantha varaku politicians mararu Politics marav The great AP people,hate,
HATE_1655,ayya èMpI gAru nI mIda vIDiyo èvaro kuTraluchesi vairal cheste nuvvu kesu pèTTAlikAnI èvaDo abhimAni kesu pèTTuDeMdi khavariMg lòddu,hate,
HATE_1656,harSha sAyi phyAns èMtamaMdi unnAru ikkaDa A man with golden heart,non-hate,
HATE_1657,raitu saMtoShistuMTe kannILlu ApukolekapoyAnu,non-hate,
HATE_1658,e video chusina tarvata ilanti manchi manushulu untara ani chala santhosham anipinchindi,non-hate,
HATE_1659,anna nIlAMTi vADu deshaM lo uMDAli nuvvu aMdarikI òka inspireShan jai hiMd annayya,non-hate,
HATE_1660,e sevenfivekurma bharataswatantra desaniki nizamaina geept ichchavu anna nuvvu desamloni prathivaadu garvapadela vundi,non-hate,
HATE_1661,vALlu I jIvitaM lo kUDa phalaknAma pyAlas lo bojanaM chesivuMDakapodurunuvvu greT bro,non-hate,
HATE_1662,I vIDiyo chUstuMTe nAku kannILLu AgaTaMledu asalu mATale rAvaTaMledu    harSha bradar nI devuDu iMkA iMkA dIviMchunu gAka,non-hate,
HATE_1663,èvvaru chèyyaleni gòppa pani mIru cheshAranna mIru greT annA,non-hate,
HATE_1664,Ettaa teesaru bhayyaacinema ni writingperformancemusicdirection everything is just classicthe best love story ive watched till no,non-hate,
HATE_1665,Nag sir la natural ga evaru matlada lerunag sir super,non-hate,
HATE_1666,Nuv chesthe cinema appadam aithadi saaar,hate,
HATE_1667,Nuvvu chesunte flop ayyedemonani naa doubt,hate,
HATE_1668,èppuDu pakkoLA mIda paDi eDavaTaM tappa èM upayogaM ledA mI valla tAta mIru I sinimA chese vArAadi mI kyArèkTar nA iMkA nayaM DIje Tillu kUDA nenu chese vADni ani chèppAledu,hate,
HATE_1669,itlantivi èMduku chestAraMDi meeru rotta cinemalu matrame chestaru sir meeru any way  ayina meerante naakistam sir,hate,
HATE_1670,Manchi Pani iyendi neku rakapovadam,hate,
HATE_1671,Nv chesuMTe utterflop ayyedi,hate,
HATE_1672,Em manishulu ra miru bhimbisara manchi movie petukonie movie evaru chustaru ra nag,hate,
HATE_1673,uMDavalli gAru mIru èMta chèppinA tAge vALLu tAgamannAru vALlu alA tAgutUne kadA prabhutvAlu naDichedi nA bAdhalu eMTaMTe twozero saMvatsarAlu niMDani pillalu kUDA tAgutunnAru ade nA bAdha,non-hate,
HATE_1674,mIru nijaMgA sUpar sAr mIru mATlADedi edayinA Exlnt,non-hate,
HATE_1675,mIDiyA samAveshaM pèTTi maMdu guriMchi mATlADe mahAnubhAvuDu,non-hate,
HATE_1676,sarmIru chAlA bAgA chèppAru prajalaku ardhamayye vidhaMgA mATlADe nAyakuDu èvaDainA uMTe adi   mIruhATsAph sar,non-hate,
HATE_1677,guruvu gAru A chIph nikkar lo kUDA kaltI kAlputunnaru prati koTar lo kUDA di namma jIvitaM,hate,
HATE_1678,e rashtraniki jarige prathi anyayam gurinchi niswardhanga matlade ekaika vyakti meere saar,non-hate,
HATE_1679,Ma city lo every one km lopala three wines vnayi last two years nundi licences Ela padithe alaa evhesaruIast elections lo TDP ki vote vesinanduku nenu chala badhapadatananu,hate,
HATE_1680,Me knowledge ku salute sir me lanti vallu ilantivi appudappudu media mundi cheppandi,non-hate,
HATE_1681,"iMta chakkaTi sinimA tIsinaMdu mIku èlA kRRitaj~natalu chèppAlo arthaM kAvaTaM lèdu I  classic movie charitra lo nilichipotuMdi
",non-hate,
HATE_1682,Hanu gAru is a very descent and dignified person unlike the arrogant petty giramouli Hanu gAru is very simple and down to earth person Best wishes to him,non-hate,
HATE_1683,Geniune banner and andharu chala hardwork chestharu,non-hate,
HATE_1684,Meeru cheppindi nijam chesaru hanu garuaa nijaanni nen e roju theatre lo chusanu no mobile light was on during the movie timekudos to u,non-hate,
HATE_1685,Em confident sir movie eeroju chusa meeru movie gurinchi cheppindhi chala thakkuva sir movie extraordinary ga undh ,non-hate,
HATE_1686,Vishal chandrashekhar aa bgm endhira saami edipinchesaav,hate,
HATE_1687,Hanu raghavapudi love story ante super immersive ga untadi,non-hate,
HATE_1688,Super comidy mi cinima hit kavali,non-hate,
HATE_1689,ery pappa la tho comedy very pappa la uanttadhi dhodhu dhodhey,hate,
HATE_1690,rAju èppuDU rAjulAne mATlADutADujai ArArAr,non-hate,
HATE_1691,iMtavaraku vachchinAka charyalutIsukokapote migitAvAraMdarUkUDa vishvarUpAlu chUpiMchi pApular avvaDAniki siddapaDatAruivannIchUsi prajalu sachchipotAru sAmi,hate,
HATE_1692,edo mATavarusaki yUniphAM tIsesi rA chUddAM ani jè si divAkar rèDDi aMTe mAtraM,hate,
HATE_1693,Ycp vunnatha varaku Andhrapradesh paristhi enka diga jaaripotaadi Vaalu leaders kaadu maha vedava lu Okarini minchina varu okaru,hate,
HATE_1694,SheM gari manasu doche untadu goratla madhavudu promotion confirm deputy SheM poste,hate,
HATE_1695,Goppa goppollu AP nundi parliament ki vellarumaa Telangana chala betteranna Maa Telangana lo dikkumalina video samskruthi Inka rale,hate,
HATE_1696,asalaina jAtiratnaM mana DairèkTar gAru anna vALLu òka laik kòTTaMDi,non-hate,
HATE_1697,manaki maMchi DairèkTar dòrikesADu navvu ki miMchina maMchi maMdu emi ledu,non-hate,
HATE_1698,veNu svAmI mI mATalu annI abaddaM,hate,
HATE_1699,Elanti valanu encourage cheyadam media valu tappu Veeri mida government charyali tisukovali Naku telisi jatakalu emi vundaavu ani medhavlu chala mandi chepparu Public nu cheating chestunnaru,non-hate,
HATE_1700,Miru eppudu chanipotharu swamy,hate,
HATE_1701,Sketch vesiMdi èvaro kUDA chèppaMDi dammu uMTe,hate,
HATE_1702,yogi cinemaa muhurtham pettaduu adi flop avuddani teliyadu raa maidapindii,hate,
HATE_1703,Babu gogineni sirveedu inka marala please evarikina choopinchandi please,hate,
HATE_1704,Mundhey potharu ani telsinapudu muhurtham pettina yogi mve flop ani vaallaki cheppadam nek telidha,hate,
HATE_1705,Cheating cheyadam kante coolie pani chesukoni bratikite chala happy ga vuntundi Mi lanti vari matalu mudhanammakalu vundevaru nammutaru,hate,
HATE_1706,rAShTrAniki nuvvuMDagA vere mRRigaM èMduku bAbu,hate,
HATE_1707,mI mATalu agnijvAlalu dhanyavAdamulu,non-hate,
HATE_1708,Mouli anna content vere level,non-hate,
HATE_1709,Tammi Nuvvu benz car kone stage ki asthavneelo a kasi n talent rendu unnayi All d best,non-hate,
HATE_1710,Best Laddu lags pilla award goes to Mouli mama,hate,
HATE_1711,bro part two cheyandi bro chala rojula taravata baga navukunanu,non-hate,
HATE_1712,Nenu ippudu hospitallo vunna nevalle navvi navvi chanipoyanudoctor treatment chesthunadhujust kidding,non-hate,
HATE_1713,tèlugu lo unnA anni vlog ChAnèl vALlani esukunna NTB Anna ki dhanyavAdAlu,non-hate,
HATE_1714,èMto nammasakyaMga chèppAv sAmi      nI kAmèDI to jabardast chUDaTame manesAnumIru rAsukunna skripT iMkA phannIgA uMdi,non-hate,
HATE_1715,nenu nammanu idaMtA sAdhyaM ayye pani kAdu nI skripTu vark ki johArlu rA nAyana èMto nammasakyaMga chèppAv sAmi ,non-hate,
HATE_1716,Chillara Vedhavalu  ruling and ruined the State Andhrulu andhuly enjoying for their overenthusiastic attitude Sani dapurinchina Rashtram ,hate,
HATE_1717,Fake lu èMduku chUDaTaMOriginal chUpistAnu aMTunADu poyi darshanaM chesukòni pApa vimukti pòMdaMDi,hate,
HATE_1718,rAdhAkRRiShNa gAriki dUla tIriMdi nabhUtò nA bhavishyat,hate,
HATE_1719,A B N  MD rAdhAkRRiShNa gAri ki  chukkalu chUpiMchina   K A pAl gAru mIru sUpar sAr nI mATallo nijAyitI kalpistuMdi,non-hate,
HATE_1720,iMDiyAlo bèsT lIDar kè e pAl Ayana mATallone uMdi nijAyitI jai kè e pAl,non-hate,
HATE_1721,anyAyamA AmudAmA avannI chetakAni vALlu mATlADe mATalu ikkaDa burra unnoDu jurrukuMTADu,hate,
HATE_1722,maheSh anna kAmèDI TaimiMg sUpar jai maheSh annayya,non-hate,
HATE_1723,Eppatiki oka twozerozero times chusa kavacchu ee scene kani prathisari adhe feel adhe goosebumps Raviteja acting ki aa voice lo base ki Rajamouli direction ni dominate chesina one and only hero MASS MAHARAJA ,non-hate,
HATE_1724,Nijamga chala natural comedy idi Venu Madhav gaari acting super ,non-hate,
HATE_1725,Venu Madhav lanti comedy evaru ceyyaru I am very very missing Venu Madha,non-hate,
HATE_1726,èkkaDa dòrikiMdayya sAmi bhale pochamma bAgA ADiMdi bAgA AkT chesiMdi,non-hate,
HATE_1727,shubhAkAMkShalu sar mI sinimAku prekShakulu annichoTlA brahmaradhaM paDutunnaTlu tèlustoMdi,non-hate,
HATE_1728,mIru strIla nu talli ani  gauraviMche mI pravartanaku   pAdAbhivaMdanaM,non-hate,
HATE_1729,mIlAMTi vAru vuMTe ADapillalaku chAlA dharmaM jarugutuMdi sAr,non-hate,
HATE_1730,bharatamAta muddubiDDa aMTe mIre sAr ilAMTi vAriki shatakoTi vaMdanAlu,non-hate,
HATE_1731,polIs vevasthalo mIlAMTi SP lu uMTe polIs lapai  gauravaM pèrugutuMdi sArmIlAMTi SP mA tèlaMgANA lo kUDA rAvAli sAr,non-hate,
HATE_1732,nAku pèddagA polIslU aMTe nachcharu kAnI mIkU nA hyATsAph sAr mIlAMTi vALlu anni choTla uMDAlani korukuMTunnAnu,non-hate,
HATE_1733,mI lAMTi vAru sTeT‌ ku DGP  gA vuzeroTI sTeT‌ bAguMTuMdi sAr‌ ayinA mIku  mimmalni kannatalli taMDri gArikI nA shatakoTi   pAdAbi vaMdanAlu,non-hate,
HATE_1734,tèlaMgANa prajala prANAlato ochinA padavi nIdinuvvu èdo chestAvani ninnu gèlipiMchaM kAnI nuvvu chesiMdi eM ledu,hate,
HATE_1735,"ippuDu vALla nu vimarshiMDAniki  I près mIT iMkA eM ledA vALla ku baya paDi I près mIT moDI vachchi ènni rojulaku 
moDI paina vimarshalu nuvvu ènni chèppina vine rojulu poyAyi",hate,
HATE_1736,saar k bayam chicchukocchindi anduke peg esukoni vachhi loda loda notiki vacchindi vagutunnadu,hate,
HATE_1737,Arey kcr saab mIru pèddagA santosham lo unnAru sarenA òkka sAri sIèM kAvaDAniki rAShTraM peru chèppi maLLI students prANa tyAgAlu cheste nuvvu sIèM ayyahu tèlusuko,hate,
HATE_1738,ilAMTi mATalato iMkA ènni rojulu prajalanu mosaM chestAru daLita mukhyamaMtri ni chestA ani eightyears avutuMdiiMkA èppuDu chestAru,hate,
HATE_1739,dikkumAlina prabhutvaMbIjepI ki naMbars leka pote nuvvu nI kUturo no poTIcheya vachchu kadA,hate,
HATE_1740,Intaki Rahul evadabba sir indirect ga Congress Rahul Gandhi ki hint istunda kalsipodamani,non-hate,
HATE_1741,sinimA chAlA bAguMdi nenu chUshAnu,non-hate,
HATE_1742,blockbuster hit aindhi movie nikhil saab acting excellent bollywood lo already dhummu leputhondhi,non-hate,
HATE_1743,Movie lo content chala bagundi evvadu apaledu movie ni dilraju kuda,non-hate,
HATE_1744,Dil raju Cheedapurugu Tollywood ki Tollywood Karan Johar ee Dil RajuRavi teja Krack movie ni kuda elane Tokkesadu,hate,
HATE_1745,Nikhil annaki ye saport lekunda mass hit kottaadu movie maathram super,non-hate,
HATE_1746,nikhil gAriki onezerozero Ayana abhimAnulato pATu pavan kaLyAN gAri abhimAnulu kUDA toDugA unnAru  jai pavar sTAr,non-hate,
HATE_1747,This should be  a good lesson for youngsters  Moral is  jIvitaM lo gèlupuki baMdu mitrulu èkkkuva kAni oTami èppuDu anAde,non-hate,
HATE_1748,Karthikeya two movie is block buster and story oriented  Karthikeya two movie ki screens ivvakapote next nunchi Dilraju movies Anni boycott cheyyali,hate,
HATE_1749,Dhil raju manchi cinemal ki alaane chesthaadu Last time krack movie ki alaa chesaadu Appudu Krack yegisi yegisi thannindhi Eppudu karthikeyatwo dhorlinchi dhorlinchi thannuthundhi So anni musukoni manchi movies ni encourage cheyyi,hate,
HATE_1750,chAlA bAgA chèppAru anna dil rAju gADu dòMga nA kòDuku òka maMchi sinimAni ApeshAru kadarA dil rAju gADu ayinA emi parvAledu kArtikeya two sinimAki maMchi rèspAns vastuMdi mUvI sUpar blAk basTar sèkaMD TaiM chUstA,hate,
HATE_1751,Nikhil ni support chyyandi manchi manchi scripts meeda work chstnnaru,non-hate,
HATE_1752,Dil raju cinema ban chestam from degree college group students and antha tamil rockers paniki malina rajuga,hate,
HATE_1753,Dilraj pani aiepoedi enka selav enka anni rojulu bye bye Ankul ,hate,
HATE_1754,mUvI chAlA bhAguMdhI wow prati hiMduvu tappaka chUDAlsina mUvI idi,non-hate,
HATE_1755,I vIDiyo dvArA maMchi saMdeshAnni chèppAru anna chinna hIrolu kUDA avakAshAlu ivvAlani baDAle pèddapuDiMgulu kAdani chinna hIrolu kUDA avakAshaM ichcheMduku saporT chesinaMduku dhanyavAdAlu,non-hate,
HATE_1756,Nuvvu nijamgaa nippu the voice of truth anipinchaav thammi,non-hate,
HATE_1757,aMta dil rAj bòchchukukAvAlane iMta vènuka paDi potunnAmu mana tèlugu sinimA,hate,
HATE_1758,svabhuddi dU raMgA pèTTI  parulamATalaku lòMgI viluvistADu kAna sAdhakuDu ga nilichi annividhAla rich mummATiki kAne kAleDu,non-hate,
HATE_1759,nijaMgA nA manasu kalachivesiMdi tArak  anna guriMchi  mI mATalu viMTuMTe,non-hate,
HATE_1760,chAlA bAgA maMchigA  mATlADaru harikRRiShNa  gArU CM gA  vachchiMTe  bAgA uMDedi,non-hate,
HATE_1761,ènTIAr riyal laiph gA kUDA chAlA tèlivainavADu maMchi vAk  chAturyaM uMdi pòliTikal lo kUDA sattA chATe dammu ènTIAr ki uMdi,non-hate,
HATE_1762,èvaremannA acting lo NTR tiger nu  miMchinavALlu deshaMlo film industry lo èvarUleremo anipistuMdi,non-hate,
HATE_1763,Evala takkuva theatres se Repu chudu double avtay mamuluga ledu movienext level Gopichand sahasam movie reference undi,non-hate,
HATE_1764,naMdamUri vAru èppuDu nijAyitIgAne vuMTAru abhimAnulu bAgAchusukuMTAru gauravistAru,non-hate,
HATE_1765,tèlaMgANA guriMchi mòdaTi  gA maMtri padaviki rAjInAmA chesina gòppa maniShi komaTirèDDi,non-hate,
HATE_1766,èMduku sir ayipoyina pèLliki meLAlu vadileyaMDi sir iddarU ilA tiTTukovaDaM janAlaki vinodaM ayipoyiMdi sir,non-hate,
HATE_1767,nUTiko koTiko èkkaDo èppuDo puDatAru adi nuvve nuvve mAsTAru mA devuDu nIve mAsTAru mA rAkeSh mAsTAru ani anna dA mI lakShmi amma gAru amma amma aMTU gèMtu lu veshAru amma cheti vaMTa amRRitaM annAru ippuDu amma emaiMdi mAsTar jimAyaM ayiMdA anAdha sharanA layaM AshrayaM ayyiMda seva peru to DAns lu veyaMDi sAr emiTo I mAya tèliya kunnAdaya eDukòMDalu svAmI,non-hate,
HATE_1768,sabitA iMdrA rèDDiki nijaM gA aMta viluva ichchinA pArTI mAraDaM nijaMgA nannu ShAk ku gurichesiMdi kAMgrès ni aMdarU mosaM cheshAru edoòka roju tagina guNapAThaM chèbutAru prajale,hate,
HATE_1769,prajala tarapuna iMta sudIrgha porATaM chesi tAnu gèlichi mammalni gèlipiMchina dilIp suMkara gAriki hRRidaya pUrvaka shubhAkAMkShalujai bhIm jai bhArat,non-hate,
HATE_1770,ilanti panikamalina vallanu interviews cheyakandi plz,hate,
HATE_1771,asalu vILlaku vichchalaviDigA kharchu pèTTaDAniki inni Dabbulu èlA vastAyo,hate,
HATE_1772,Ilaa sollu cheppi kaanichestunnadu,hate,
HATE_1773,Mottanaki neeku correct mogudu badaleswari ya,hate,
HATE_1774,Komatreddy Garu Telangana kosam Padavini rajinama chesi Niraahaara deeksha chesina Leadrs lo okkaruEvery one respects him,non-hate,
HATE_1775,raghunaMdan gAriki maMchi bhaviShyat uMDAli ani korukuMTunnA iMTarvyU chAlA bAguMdi phasT Taim RK gAru bAgA mATlADAru,non-hate,
HATE_1776,open heart with RK interview lalo  ippaTivaraku chesina vATilo the Best idi raghunaMdan gAru spaShTaMgA unnAru,non-hate,
HATE_1777,RK garu Mee questioning bagundhi But CM ni or Central Minister ni adagalsina questions aduguthunnaru Overall its a very good discussion  My Vakheel Saab thopu ayana maata muchata vignaanam chaala superb  Way to go my MLA,non-hate,
HATE_1778,nAdi shrIkAkulaM jillA kAnI raghu anna vAgdATiki abhimAnini saMpUrNa maina avagAhana kaligina nAyakuDu,non-hate,
